"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license","is_first"
129378,16,16,16,"English (American)","WS","Third","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129379,29,63,63,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129380,20,148,148,"English (American)","WS","Sixth","White","Female",NA,TRUE,"Graduate",FALSE,"Marchman (Norming)","CC-BY",FALSE
129381,21,131,131,"English (American)","WS","Fourth","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129382,22,52,52,"English (American)","WS","Second","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129383,28,370,370,"English (American)","WS","Fourth","Hispanic","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129384,17,226,226,"English (American)","WS","Fourth","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129385,26,456,456,"English (American)","WS","Third","Asian","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129386,17,22,22,"English (American)","WS","Fourth","Hispanic","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129387,16,36,36,"English (American)","WS","Third","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129388,19,92,92,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Primary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129389,21,32,32,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129390,16,9,9,"English (American)","WS","Second","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129391,26,54,54,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129392,22,327,327,"English (American)","WS","Third","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129393,29,369,369,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129394,24,34,34,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129395,23,66,66,"English (American)","WS","Second","White","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129396,28,386,386,"English (American)","WS","Second","Other","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129397,20,190,190,"English (American)","WS","Second","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129398,19,23,23,"English (American)","WS","Second","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129399,29,297,297,"English (American)","WS","Second","Hispanic","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129400,21,73,73,"English (American)","WS","Third","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129401,25,138,138,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129402,29,496,496,"English (American)","WS","Third","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129403,24,92,92,"English (American)","WS","Second","Other","Female",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129404,18,59,59,"English (American)","WS","Third","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129405,20,156,156,"English (American)","WS","Second","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129406,27,570,570,"English (American)","WS","Second","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129407,28,350,350,"English (American)","WS","Fourth","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129408,22,28,28,"English (American)","WS","Second","White","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129409,29,315,315,"English (American)","WS","Third","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129410,25,41,41,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129411,26,502,502,"English (American)","WS","Second","Other","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129412,25,415,415,"English (American)","WS","Third","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129413,21,68,68,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129414,23,109,109,"English (American)","WS","Second","White","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
