Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
Malaysia,Southeast Asia,5.384,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,1.259,0.797,0.5870000000000001,0.624,0.27,0.064,2021
Indonesia,Southeast Asia,5.345,9.365,0.8109999999999999,62.236,0.873,0.542,0.867,0.954,0.7859999999999999,0.433,0.598,0.541,0.046,2021
Congo (Brazzaville),Sub-Saharan Africa,5.3420000000000005,8.117,0.636,58.221,0.695,-0.068,0.745,0.518,0.392,0.307,0.381,0.14400000000000002,0.124,2021
China,East Asia,5.339,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,1.061,0.785,0.665,0.636,0.093,0.117,2021
Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,0.669,0.409,0.052000000000000005,0.438,0.177,0.092,2021
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,0.996,0.758,0.585,0.54,0.079,0.198,2021
Nepal,South Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727,0.519,0.7020000000000001,0.496,0.488,0.287,0.135,2021
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67.0,0.7879999999999999,-0.096,0.932,1.181,1.055,0.583,0.494,0.125,0.005,2021
Maldives,South Asia,5.198,9.826,0.913,70.6,0.8540000000000001,0.024,0.825,1.115,1.015,0.6970000000000001,0.575,0.204,0.073,2021
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.8140000000000001,-0.223,0.506,1.025,0.841,0.541,0.526,0.043,0.276,2021
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,0.5429999999999999,0.556,0.159,0.425,0.205,0.058,2021
Senegal,Sub-Saharan Africa,5.1320000000000014,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999,0.518,0.5579999999999999,0.35700000000000004,0.381,0.158,0.08800000000000001,2021
Albania,Central and Eastern Europe,5.117,9.52,0.6970000000000001,68.999,0.785,-0.03,0.901,1.008,0.529,0.6459999999999999,0.491,0.168,0.024,2021
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905,1.068,0.772,0.535,0.45,0.212,0.022,2021
Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.58600000000001,0.807,0.123,0.848,0.68,0.595,0.287,0.517,0.268,0.058,2021
Niger,Sub-Saharan Africa,5.074,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693,0.162,0.402,0.16699999999999998,0.516,0.2,0.157,2021
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,1.046,1.172,0.439,0.602,0.366,0.033,2021
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.6970000000000001,0.424,0.746,0.3670000000000001,0.511,0.21,0.384,0.465,0.123,2021
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999,0.507,0.058,0.196,0.457,0.166,0.17800000000000002,2021
Laos,Southeast Asia,5.03,8.947000000000003,0.728,58.968,0.91,0.123,0.6579999999999999,0.8079999999999999,0.598,0.33,0.643,0.268,0.179,2021
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,0.635,0.52,0.514,0.603,0.161,0.16399999999999998,2021
Guinea,Sub-Saharan Africa,4.984,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999,0.42,0.399,0.206,0.384,0.25,0.111,2021
South Africa,Sub-Saharan Africa,4.956,9.403,0.86,56.904,0.7490000000000001,-0.067,0.86,0.967,0.895,0.265,0.447,0.14400000000000002,0.051,2021
Turkey,Middle East and North Africa,4.948,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,1.26,0.809,0.59,0.236,0.097,0.104,2021
Pakistan,South Asia,4.934,8.458,0.6509999999999999,58.709,0.726,0.098,0.787,0.637,0.423,0.322,0.418,0.252,0.097,2021
Morocco,Middle East and North Africa,4.918,8.902999999999997,0.56,66.208,0.774,-0.236,0.8009999999999999,0.792,0.219,0.5579999999999999,0.477,0.034,0.08800000000000001,2021
Venezuela,Latin America and Caribbean,4.892,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,0.852,0.897,0.574,0.284,0.078,0.07200000000000001,2021
Georgia,Commonwealth of Independent States,4.891,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.238,0.655,1.03,0.47,0.498,0.488,0.032,0.181,2021
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,0.946,0.765,0.552,0.119,0.14400000000000002,0.12,2021
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.7240000000000001,-0.011,0.924,0.979,0.958,0.517,0.417,0.181,0.01,2021
Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,0.91,0.638,0.381,0.302,0.153,0.041,2021
Gabon,Sub-Saharan Africa,4.852,9.603,0.7759999999999999,59.962,0.731,-0.2,0.84,1.037,0.7070000000000001,0.362,0.424,0.058,0.064,2021
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748,0.364,0.472,0.179,0.381,0.182,0.122,2021
Cambodia,Southeast Asia,4.83,8.36,0.765,62.0,0.959,0.034,0.843,0.603,0.68,0.426,0.7020000000000001,0.21,0.061,2021
Mozambique,Sub-Saharan Africa,4.794,7.158,0.7440000000000001,54.706,0.882,0.061,0.684,0.183,0.634,0.196,0.608,0.228,0.163,2021
Nigeria,Sub-Saharan Africa,4.759,8.533,0.74,50.102,0.737,0.037000000000000005,0.878,0.6629999999999999,0.625,0.051,0.433,0.212,0.039,2021
Mali,Sub-Saharan Africa,4.723,7.744,0.7240000000000001,51.969,0.6970000000000001,-0.036000000000000004,0.8270000000000001,0.387,0.59,0.11,0.384,0.16399999999999998,0.07200000000000001,2021
Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001,1.03,0.557,0.561,0.275,0.33,0.14400000000000002,2021
Uganda,Sub-Saharan Africa,4.636,7.677,0.7809999999999999,56.101000000000006,0.7090000000000001,0.122,0.855,0.364,0.718,0.24,0.398,0.267,0.054000000000000006,2021
Liberia,Sub-Saharan Africa,4.625,7.2879999999999985,0.72,56.49800000000001,0.735,0.05,0.85,0.228,0.58,0.253,0.43,0.221,0.057,2021
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825,0.603,0.508,0.385,0.483,0.375,0.073,2021
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.20100000000001,0.6559999999999999,-0.201,0.87,0.919,0.515,0.59,0.334,0.057,0.044,2021
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,1.045,0.868,0.595,0.175,0.14,0.026,2021
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847,0.882,0.8009999999999999,0.262,0.411,0.091,0.059,2021
Palestinian Territories,Middle East and North Africa,4.517,8.485,0.826,62.25,0.653,-0.163,0.821,0.6459999999999999,0.8190000000000001,0.434,0.33,0.08199999999999999,0.075,2021
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66,0.6659999999999999,0.713,0.341,0.601,0.52,0.17800000000000002,2021
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.16699999999999998,0.705,0.89,0.685,0.583,0.455,0.079,0.15,2021
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,0.255,0.353,0.0,0.24,0.215,0.084,2021
Sri Lanka,South Asia,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863,0.99,0.82,0.593,0.5589999999999999,0.239,0.049,2021
Swaziland,Sub-Saharan Africa,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,0.8490000000000001,0.693,0.07400000000000001,0.32299999999999995,0.067,0.147,2021
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999,0.488,0.3670000000000001,0.279,0.202,0.241,0.101,2021
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.99800000000001,0.7490000000000001,-0.182,0.795,0.954,0.647,0.426,0.446,0.069,0.092,2021
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.0,0.752,0.08199999999999999,0.7609999999999999,0.37,0.679,0.331,0.451,0.241,0.114,2021
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,0.6659999999999999,0.7490000000000001,0.273,0.218,0.119,0.133,2021
Madagascar,Sub-Saharan Africa,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999,0.266,0.503,0.341,0.207,0.185,0.087,2021
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,0.254,0.239,0.203,0.289,0.209,0.107,2021
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,0.528,0.552,0.231,0.487,0.227,0.07400000000000001,2021
Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.63,51.651,0.7170000000000001,0.084,0.866,0.279,0.377,0.1,0.408,0.243,0.047,2021
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774,0.741,0.316,0.383,0.622,0.246,0.106,2021
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,0.0,0.062,0.155,0.298,0.172,0.212,2021
Yemen,Middle East and North Africa,3.658,7.5779999999999985,0.8320000000000001,57.122,0.602,-0.147,0.8,0.329,0.831,0.272,0.268,0.092,0.08900000000000001,2021
Tanzania,Sub-Saharan Africa,3.623,7.876,0.7020000000000001,57.999,0.833,0.183,0.5770000000000001,0.433,0.54,0.3,0.5489999999999999,0.307,0.231,2021
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.422,0.721,0.294,0.173,0.227,0.257,0.463,0.139,2021
Malawi,Sub-Saharan Africa,3.6,6.957999999999998,0.537,57.948,0.78,0.038,0.7290000000000001,0.113,0.168,0.298,0.484,0.213,0.134,2021
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,0.451,0.731,0.006999999999999999,0.405,0.103,0.015,2021
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.8240000000000001,-0.246,0.8009999999999999,1.099,0.7240000000000001,0.34,0.539,0.027000000000000003,0.08800000000000001,2021
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998,0.364,0.202,0.407,0.627,0.227,0.493,2021
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,0.457,0.649,0.243,0.359,0.157,0.075,2021
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,0.37,0.0,0.126,0.0,0.122,0.01,2021
