,Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
875,Honduras,Latin America and Caribbean,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.2044,0.06906,,,,,,,2016
876,Iran,Middle East and Northern Africa,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,,,,,,,2016
877,Zambia,Sub-Saharan Africa,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,,,,,,,2016
878,Nepal,Southern Asia,4.793,0.4462600000000001,0.69699,0.50073,0.37012,0.3816,0.07007999999999999,,,,,,,2016
879,Palestinian Territories,Middle East and Northern Africa,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613,,,,,,,2016
880,Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,,,,,,,2016
881,Bangladesh,Southern Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,,,,,,,2016
882,Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.628,0,0.30685,0.23897,0.08196,,,,,,,2016
883,Iraq,Middle East and Northern Africa,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13635999999999998,,,,,,,2016
884,Namibia,Sub-Saharan Africa,4.574,0.93287,0.70362,0.34745,0.48614,0.07795,0.10398,,,,,,,2016
885,Cameroon,Sub-Saharan Africa,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.2268,0.06126,,,,,,,2016
886,Ethiopia,Sub-Saharan Africa,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.29522,0.1717,,,,,,,2016
887,South Africa,Sub-Saharan Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415,,,,,,,2016
