Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Maldives,South Asia,5.1979999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825,1.115,1.015,0.6970000000000001,0.575,0.204,0.073
Azerbaijan,Commonwealth of Independent States,5.171,9.568999999999999,0.836,65.656,0.8140000000000001,-0.223,0.506,1.025,0.841,0.541,0.526,0.043,0.276
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026000000000000002,0.848,0.5429999999999999,0.556,0.159,0.425,0.205,0.057999999999999996
Senegal,Sub-Saharan Africa,5.132000000000001,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999,0.518,0.5579999999999999,0.35700000000000004,0.381,0.158,0.08800000000000001
Albania,Central and Eastern Europe,5.117,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999,1.008,0.529,0.6459999999999999,0.491,0.168,0.024
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905,1.068,0.772,0.535,0.45,0.212,0.022000000000000002
Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848,0.68,0.595,0.287,0.517,0.268,0.057999999999999996
Niger,Sub-Saharan Africa,5.074,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693,0.162,0.402,0.16699999999999998,0.516,0.2,0.157
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,1.046,1.172,0.439,0.602,0.366,0.033
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.6970000000000001,0.424,0.746,0.36700000000000005,0.511,0.21,0.384,0.465,0.12300000000000001
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999,0.507,0.057999999999999996,0.196,0.457,0.166,0.17800000000000002
Laos,Southeast Asia,5.03,8.947000000000001,0.728,58.968,0.91,0.12300000000000001,0.6579999999999999,0.8079999999999999,0.598,0.33,0.643,0.268,0.179
